safetyreportid,field_count_raw,field_count_converted
23400461,77,77
23142023,73,73
23400704,63,63
23143668,72,72
23357606,81,81
23143897,72,72
23358120,72,72
23150824,71,71
23361050,56,56
23153874,67,67
23145410,81,81
23159234,71,71
23149351,66,66
23175568,75,75
23152214,82,82
23175878,66,66
23162688,69,69
23492482,68,68
23176391,77,77
23475914,70,70
23178106,61,61
23476076,68,68
21573653,73,73
23191296,63,63
21640263,70,70
23195818,83,83
21645796,62,62
23207887,74,74
21656611,74,74
23326570,63,63
21672163,76,76
23327232,65,65
21701041,65,65
23331363,79,79
21712096,73,73
23333279,68,68
21746965,68,68
23336223,81,81
21772117,82,82
23336519,71,71
21780460,77,77
23337167,68,68
21806690,70,70
23338801,59,59
23362466,77,77
23502244,76,76
23364019,67,67
23344242,77,77
23402296,65,65
23344929,64,64
23402405,58,58
23346334,74,74
23402458,66,66
23348211,77,77
23403620,70,70
23348507,66,66
23403888,68,68
23348521,72,72
23185072,69,69
23353758,63,63
23186044,57,57
23503889,75,75
23189337,76,76
23504093,70,70
23198786,68,68
23504808,68,68
23206780,68,68
23506657,69,69
21851120,74,74
23506819,76,76
21872624,70,70
23507724,85,85
21902002,75,75
23507777,67,67
21918146,69,69
23360361,74,74
21926866,65,65
23360428,77,77
21943432,73,73
23361076,65,65
21952881,69,69
23361104,68,68
21967380,84,84
23362587,77,77
21988912,70,70
23511006,84,84
21994205,66,66
23511059,70,70
23365139,66,66
23511154,74,74
23365382,67,67
23511369,57,57
23367555,76,76
23511626,80,80
23405402,73,73
23512045,77,77
23406670,65,65
23513031,63,63
23406832,65,65
23513246,61,61
23227435,75,75
23363654,76,76
23237412,68,68
23365746,77,77
23248562,75,75
23366651,66,66
23251559,70,70
23366813,64,64
23370418,81,81
23514676,65,65
23372186,78,78
23368419,62,62
23410033,68,68
23368958,70,70
23261307,74,74
23369243,76,76
23262885,67,67
23369687,73,73
23263332,72,72
23369810,87,87
23264371,80,80
23370458,79,79
23268650,67,67
23371268,68,68
23280881,73,73
23371497,77,77
23280948,73,73
23372254,66,66
23281462,72,72
23480101,69,69
22013592,56,56
23480154,73,73
22044668,73,73
23480316,83,83
22062516,77,77
23481841,63,63
22085344,77,77
23376142,66,66
22124157,70,70
23376991,74,74
22141653,66,66
23483232,67,67
22170961,70,70
23483623,59,59
23414312,75,75
23484824,80,80
23414527,69,69
23518469,67,67
23425152,75,75
23518821,82,82
23426043,67,67
23519293,83,83
23426515,68,68
23520321,68,68
23427244,71,71
23521966,58,58
23397525,67,67
23380611,71,71
23399011,62,62
23381421,65,65
23363043,68,68
23381502,77,77
23363434,76,76
23487416,81,81
23364149,76,76
23488374,79,79
23365755,81,81
23488941,68,68
23404195,69,69
21586693,69,69
23404829,81,81
21649510,81,81
23405424,75,75
21658730,71,71
23435869,73,73
21660984,77,77
23436411,71,71
21678938,68,68
23438260,61,61
21689697,68,68
22875457,55,55
21723773,69,69
22876429,62,62
21755888,64,64
22876577,62,62
21767337,75,75
22876672,48,48
21794634,58,58
22876968,48,48
21820649,70,70
22884462,80,80
22017333,67,67
22913865,65,65
22025176,76,76
22914217,74,74
22053889,71,71
22937612,81,81
22077784,66,66
22943983,57,57
22095146,74,74
23374274,60,60
